name	age	height	weight	foot	injury tolerance	position_prefered_team	positions	fifa_team	contract_valid_until	attack	defence	balance	stamina	speed	acceleration	response	agility	dribble accuracy	dribble speed	short pass accuracy	short pass speed	long pass accuracy	long pass speed	shot accuracy	shot power	shot technique	free kick accuracy	swerve	heading	jump	technique	aggression	mentality	gk skills	team work
Diego García Campos	24	185	75	R	B	CF	["CF","SM","WF"]	Leganés	2027	76	31	68	71	78	79	73	72	76	75	70	71	58	60	78	74	71	61	62	76	82	77	73	63	50	67
Javier Hernández Carrera	26	182	75	L	B	SB	["SB","CBT"]	Leganés	2026	72	72	76	81	74	76	76	75	73	72	74	74	74	76	61	76	68	76	74	71	86	75	76	76	50	70
Roberto López Alcaide	24	180	70	L	B	AM	["AM","SM","CF","SS","WF"]	Leganés	2027	74	52	74	84	66	66	73	71	79	70	81	80	77	77	78	79	73	79	74	61	66	80	73	71	50	71
Matija Nastasić Матија Настасић	31	188	83	L	B	CBT	["CBT"]	Leganés	2026	53	79	82	71	69	66	81	68	65	65	76	70	68	60	61	68	62	72	76	76	78	72	60	75	50	82
Munir El Haddadi Mohamed منير الحدادي محمد	29	175	69	L	B	WF	["WF","SM"]	Leganés	2026	78	43	74	73	82	81	78	83	80	81	79	80	77	80	78	81	80	73	84	79	81	80	78	70	50	75
Julián Antonio Chicco	26	186	73	R	B	CM	["CM","DM","CBT"]	Leganés	2025	71	70	80	76	66	66	73	65	73	65	78	74	67	62	65	70	66	65	62	69	74	77	70	74	50	72
Naim García García	22	180	75	R	B	WF	["WF","SM"]	Leganés	2027	64	44	70	71	67	66	63	64	76	71	72	72	69	71	75	74	65	61	62	61	66	77	61	63	50	63
Carlos Guirao Mora	21	175	68	R	B	CM	["CM"]	Leganés	2025	61	56	72	71	67	69	63	64	65	64	68	65	61	57	61	68	57	61	62	61	66	65	61	67	50	64
Joao Andrés Urbáez Gómez	22	179	73	R	B	CBT	["CBT"]	Leganés	2025	45	63	68	71	66	67	65	62	65	62	61	62	58	49	61	68	56	61	62	61	66	65	42	64	50	58
Álvaro Abajas Martín	21	181	75	R	B	GK	["GK"]	Leganés	2025	31	70	70	71	62	62	65	61	58	55	61	62	61	62	30	66	43	61	49	55	68	65	38	52	71	59
Dominik Greif	27	197	82	R	B	GK	["GK"]	Mallorca	2026	31	79	81	71	62	62	79	66	58	55	61	68	66	69	32	81	43	61	49	55	74	65	47	62	79	62
Mateu Jaume Morey Bauzà	24	173	67	R	B	SB	["SB","SM","WB"]	Mallorca	2025	72	71	76	71	71	79	79	80	79	75	79	72	74	68	61	68	64	61	68	61	66	79	77	74	50	72
Antonio Latorre Grueso	27	171	64	L	B	SB	["SB","SM","WB"]	Mallorca	2027	75	71	74	76	79	82	76	80	76	77	78	73	81	76	65	69	67	61	79	67	74	77	76	74	50	73
Siebe Van der Heyden	26	185	76	L	B	CBT	["CBT"]	Mallorca	2028	52	78	76	79	68	66	79	65	65	65	73	69	68	62	61	68	60	61	62	76	77	68	58	81	50	76
Omar Mascarell González	31	181	76	R	B	CM	["CM","DM","CBT"]	Mallorca	2026	78	73	75	80	66	66	79	71	79	67	81	79	73	68	67	76	72	76	67	68	72	80	79	77	50	76
José Manuel Arias Copete	25	192	73	L	B	CBT	["CBT"]	Mallorca	2026	53	81	74	73	66	67	80	62	69	61	78	72	63	54	61	68	63	61	62	81	81	76	59	76	50	74
Vedat Muriqi	30	194	92	L	B	CF	["CF"]	Mallorca	2027	84	34	92	77	69	66	85	62	83	75	82	83	65	65	86	85	81	68	64	86	85	85	85	78	50	79
Manuel Morlanes Ariño	25	178	75	R	B	CM	["CM","DM"]	Mallorca	2028	73	72	74	79	69	75	80	75	78	73	83	77	77	71	71	71	71	76	73	65	74	78	80	77	50	74
Abdón Prats Bastidas	31	181	81	L	B	CF	["CF"]	Mallorca	2028	78	37	79	74	74	70	73	75	78	76	73	75	69	74	81	79	76	75	73	73	79	78	73	66	50	67
Sergi Darder Moll	30	180	71	R	B	CM	["CM","AM","DM"]	Mallorca	2028	84	76	79	87	82	81	84	84	86	84	88	86	84	82	83	85	81	78	85	70	81	85	84	84	50	84
Takuma Asano 浅野 拓磨	30	173	71	R	B	WF	["WF","SM","CF"]	Mallorca	2026	79	39	82	83	85	92	80	92	80	83	75	74	67	73	74	74	76	61	67	67	84	80	80	71	50	71
Samuel de Almeida Costa	24	183	75	L	B	DM	["DM","CM"]	Mallorca	2028	74	75	77	84	66	71	79	71	76	69	81	82	73	73	68	82	70	63	62	67	75	78	78	83	50	76
Leonardo Román Riquelme	24	189	83	R	B	GK	["GK"]	Mallorca	2026	31	77	79	71	62	62	79	67	58	55	61	66	64	66	34	76	43	61	49	55	75	65	50	68	78	66
Daniel José Rodríguez Vázquez	36	178	71	R	B	SM	["SM","CM"]	Mallorca	2025	79	65	74	81	86	81	79	76	79	82	80	78	78	76	81	76	72	81	76	66	77	80	79	74	50	75
Valery Fernández Estrada	25	182	75	R	B	SM	["SM","SB","WB"]	Mallorca	2025	76	71	74	83	89	90	77	86	80	84	78	75	76	75	77	72	71	61	73	61	74	80	77	77	50	74
Cyle Christopher Larin	29	188	90	R	B	CF	["CF"]	Mallorca	2028	80	33	90	77	78	72	78	70	76	76	76	79	67	78	81	83	72	61	71	79	88	76	78	73	50	74
Antonio Sánchez Navarro	27	179	78	R	B	SM	["SM","CM"]	Mallorca	2027	74	67	79	86	78	79	77	82	77	77	83	83	76	76	69	82	72	66	68	64	77	78	74	79	50	74
Javier Llabrés Exposito	22	174	67	R	B	WF	["WF","SM"]	Mallorca	2026	70	39	76	81	82	85	70	86	75	77	71	68	70	69	72	68	64	61	64	61	66	76	70	69	50	67
Francisco Jorge Tavares Oliveira	24	179	73	R	B	WF	["WF","SM"]	Mallorca	2025	73	42	74	71	89	88	71	85	79	84	73	73	72	75	76	74	68	61	75	63	77	79	71	64	50	68
Antonio José Raíllo Arenas	33	187	80	R	B	CBT	["CBT"]	Mallorca	2026	62	82	76	89	66	66	81	62	68	60	81	73	63	51	61	68	62	61	62	83	79	73	68	88	50	79
Johan Andrés Mojica Palacio	32	185	73	L	B	SB	["SB","SM","WB"]	Mallorca	2027	75	73	74	72	91	88	78	81	78	84	81	82	78	82	70	83	68	71	78	66	80	79	75	75	50	75
Pablo Carmine Maffeo Becerra	27	172	70	R	B	SB	["SB"]	Mallorca	2026	75	77	79	76	83	87	78	83	83	83	79	72	78	73	63	68	66	61	75	76	84	83	78	75	50	73
Martin Valjent	28	187	70	R	B	CBT	["CBT"]	Mallorca	2025	62	83	87	85	66	72	76	74	73	66	80	72	66	55	62	68	63	62	62	81	88	76	66	84	50	76
Iván Cuéllar Sacristán	40	187	76	L	B	GK	["GK"]	Mallorca	2025	31	72	79	71	62	62	73	63	58	55	61	64	62	64	36	69	43	61	49	55	71	65	48	69	73	66
Robert Navarro Muñoz	22	178	65	R	B	SM	["SM","CM"]	Mallorca	2025	75	37	73	73	75	80	76	81	80	78	78	73	72	70	78	68	71	69	74	61	71	80	76	70	50	73
Miquel Jan Salas Franch	19	182	72	R	B	CM	["CM","AM"]	Mallorca	2025	63	54	67	71	71	68	63	68	68	67	69	66	62	56	61	68	63	61	62	61	66	70	63	65	50	64
Marc Domenech González	17	185	80	R	B	CF	["CF","SM","WF"]	Mallorca	2027	65	33	66	71	72	70	64	69	65	67	65	64	58	56	68	68	61	61	62	63	66	65	64	65	50	60
Daniel Andrés Luna García	21	179	66	L	B	AM	["AM"]	Mallorca	2028	74	41	67	71	73	73	68	71	73	71	71	67	63	55	69	68	65	65	62	61	66	74	68	65	50	72
Pau Mascaró Ruiz	20	178	72	R	B	CF	["CF"]	Mallorca	2025	68	33	72	73	81	73	69	72	66	72	63	65	58	57	71	71	62	63	62	67	72	66	69	65	50	63
Sergio Herrera Pirón	31	192	82	R	B	GK	["GK"]	Osasuna	2026	31	81	81	71	62	62	81	67	58	55	61	67	65	68	37	79	43	61	49	55	78	65	53	72	81	65
Ignacio Vidal Miralles	29	180	75	R	B	SB	["SB"]	Osasuna	2025	72	71	69	71	77	77	77	75	72	73	80	73	75	71	66	68	62	61	74	76	78	73	77	72	50	70
Juan Cruz Álvaro Armada	32	182	79	L	B	SB	["SB","CBT"]	Osasuna	2026	67	75	74	78	75	79	79	75	72	71	80	73	71	66	61	68	63	61	65	73	79	76	79	77	50	66
Unai García Lugea	32	186	81	R	B	CBT	["CBT"]	Osasuna	2025	55	77	75	79	66	66	77	65	66	62	77	71	70	63	61	68	62	61	62	80	82	74	59	77	50	74
Jorge Herrando Oroz	23	192	76	L	B	CBT	["CBT"]	Osasuna	2027	52	78	67	71	66	66	77	63	65	61	76	70	65	57	61	68	63	61	62	79	76	75	57	73	50	72
Lucas Torró Marset	30	190	77	R	B	DM	["DM","CM"]	Osasuna	2027	71	76	79	81	66	66	79	68	76	63	82	79	72	68	68	77	71	63	64	79	79	81	78	79	50	73
Jon Moncayola Tollar	26	182	78	R	B	CM	["CM","DM","SB"]	Osasuna	2031	79	75	72	78	69	69	80	70	83	77	84	79	78	73	74	74	70	66	62	65	71	81	80	79	50	79
Pablo Ibáñez Lumbreras	26	179	74	R	B	CM	["CM","DM"]	Osasuna	2025	76	68	70	75	66	66	76	66	75	67	78	72	69	61	71	68	67	67	62	63	66	78	76	71	50	73
Raúl García de Haro	24	192	70	R	B	CF	["CF"]	Osasuna	2028	76	31	78	71	77	71	74	68	79	77	81	79	65	60	80	78	73	68	62	82	85	80	74	70	50	73
Aimar Oroz Huarte	23	177	72	R	B	CM	["CM","AM"]	Osasuna	2029	75	54	71	80	69	76	76	76	81	74	81	79	73	71	81	76	75	68	65	72	77	83	74	70	50	72
Enrique Barja Alfonso	27	179	69	R	B	WF	["WF","SM"]	Osasuna	2026	78	42	67	71	78	81	75	78	79	79	76	73	76	74	76	71	68	61	62	68	75	79	75	65	50	73
Jesús Areso Blanco	25	182	81	R	B	SB	["SB","SM","WB"]	Osasuna	2026	70	73	76	79	74	79	75	79	75	72	78	71	76	71	61	68	64	61	74	74	81	77	75	75	50	70
Aitor Fernández Abarisketa	33	182	78	R	B	GK	["GK"]	Osasuna	2025	31	80	77	71	62	64	83	71	58	57	61	65	63	65	34	73	43	61	49	55	77	65	54	72	79	69
Rubén García Santos	31	172	71	L	B	WF	["WF","SM"]	Osasuna	2026	79	52	77	74	75	85	78	85	82	78	83	81	83	81	81	79	76	83	80	65	67	83	78	71	50	76
Rubén Peña Jiménez	33	170	65	R	B	SB	["SB","SM","WB"]	Osasuna	2025	79	73	74	75	77	75	81	76	77	75	79	78	77	79	75	78	73	66	65	78	80	78	81	73	50	73
Moisés Gómez Bordonado	30	176	73	R	B	CM	["CM","SM"]	Osasuna	2027	81	66	71	81	67	75	81	76	82	74	83	80	83	79	81	77	78	77	85	64	69	83	81	72	50	76
Ante Budimir	33	190	75	L	B	CF	["CF"]	Osasuna	2027	83	40	85	75	68	66	80	65	83	75	73	76	60	69	86	80	78	71	62	88	89	84	80	78	50	73
Iker Muñoz Cameros	22	180	73	R	B	CM	["CM","DM"]	Osasuna	2027	69	58	69	72	70	66	73	66	74	70	75	70	67	59	68	68	65	61	62	63	66	76	73	70	50	69
Bryan Zaragoza Martínez	23	164	60	R	B	WF	["WF","SM"]	Osasuna	2025	74	37	79	71	82	87	73	90	84	84	77	79	77	81	77	81	76	73	73	61	66	83	73	66	50	68
José Manuel Arnáiz Díaz	29	173	69	R	B	WF	["WF","SM","CF"]	Osasuna	2025	72	52	76	78	79	87	72	86	77	78	70	76	69	75	76	84	74	77	74	73	83	76	72	71	50	68
Javier Martínez Calvo	24	181	71	R	B	CM	["CM","SM"]	Osasuna	2026	75	59	74	79	72	68	75	69	77	74	80	73	65	58	73	68	68	61	62	67	72	78	75	76	50	74
Flavien Enzo Thiedort Boyomo	23	181	86	R	B	CBT	["CBT","SB"]	Osasuna	2029	65	76	83	81	76	78	78	71	65	69	73	69	62	53	61	68	61	61	62	79	88	70	73	76	50	64
Abel Bretones Cruz	24	188	79	L	B	SB	["SB"]	Osasuna	2029	73	70	79	82	80	77	76	76	76	77	77	77	78	79	68	79	71	70	81	72	81	76	75	82	50	74
Alejandro Catena Marugán	30	194	82	R	B	CBT	["CBT"]	Osasuna	2028	54	83	81	81	70	69	81	68	65	66	83	74	71	55	61	68	63	61	62	85	87	76	61	81	50	78
Iker Benito Sánchez	22	176	71	R	B	WF	["WF","SM"]	Osasuna	2027	68	43	72	71	79	85	68	82	74	76	73	71	70	71	69	71	64	63	62	61	66	73	68	63	50	66
Dimitrios Stamatakis	21	191	82	R	B	GK	["GK"]	Osasuna	2025	31	69	75	71	62	62	69	58	58	55	61	64	62	64	30	68	43	61	49	55	64	65	38	51	69	58
Noel López de la Fuente	21	182	68	R	B	CF	["CF","WF","SM"]	Osasuna	2025	71	39	66	71	71	68	71	65	72	69	69	68	60	64	71	70	67	62	65	68	66	73	71	63	50	67
Daniel Cárdenas Lindez	27	186	80	R	B	GK	["GK"]	Rayo Vallecano	2027	31	79	78	71	62	62	81	70	58	55	61	67	65	67	29	77	43	61	49	55	74	65	49	67	77	63
Andrei Florin Rațiu	26	183	72	R	B	SB	["SB","SM","WB"]	Rayo Vallecano	2028	74	70	68	74	88	91	73	83	74	79	76	71	73	71	64	68	68	61	74	79	87	76	73	74	50	72
Josep María Chavarría Pérez	26	174	72	L	B	SB	["SB","SM","WB"]	Rayo Vallecano	2027	75	67	77	87	86	82	74	80	73	79	73	68	73	69	61	68	62	61	68	68	80	73	74	79	50	72
Pedro Díaz Fanjul	26	180	78	R	B	CM	["CM","DM","AM"]	Rayo Vallecano	2028	73	69	75	84	71	75	73	79	76	73	79	81	77	79	79	83	76	84	83	61	69	77	73	78	50	74
Aridane Hernández Umpiérrez	35	186	77	R	B	CBT	["CBT"]	Rayo Vallecano	2025	54	79	92	81	66	66	81	68	65	60	72	71	61	62	61	71	62	61	62	81	81	73	60	81	50	77
Pathé Ismaël Ciss	30	186	71	R	B	DM	["DM","CM"]	Rayo Vallecano	2025	72	71	86	88	66	69	77	66	72	66	78	76	68	65	65	75	63	61	62	80	88	75	75	85	50	74
Isaac Palazón Camacho	29	169	71	L	B	WF	["WF","SM","AM"]	Rayo Vallecano	2028	82	47	76	78	85	89	81	88	85	85	84	81	83	81	83	79	79	81	79	63	70	85	81	72	50	78
Óscar Guido Trejo	36	180	79	R	B	AM	["AM","CF","SS"]	Rayo Vallecano	2025	78	72	81	88	70	68	78	79	83	78	83	81	79	78	79	79	78	80	78	73	78	80	77	82	50	80
Raúl de Tomás Gómez	30	180	72	R	B	CF	["CF"]	Rayo Vallecano	2027	83	44	77	74	77	79	84	81	82	79	83	82	77	76	81	80	79	83	77	83	87	82	84	78	50	82
James David Rodríguez Rubio	33	180	75	L	B	AM	["AM","SM","CM"]	Rayo Vallecano	2025	84	53	74	72	66	66	83	73	88	72	87	87	89	89	85	88	89	88	90	71	70	90	83	70	50	80
Randy Nteka	26	189	75	L	B	CF	["CF","AM","SS"]	Rayo Vallecano	2026	76	52	90	81	75	78	74	79	76	75	75	76	69	70	75	78	72	62	63	76	90	76	74	81	50	77
Sergio Guardiola Navarro	33	184	78	L	B	CF	["CF"]	Rayo Vallecano	2025	75	37	81	74	74	73	69	74	77	75	77	76	62	68	78	77	75	65	75	76	84	78	69	75	50	75
Augusto Martín Batalla Barga	28	185	87	R	B	GK	["GK"]	Rayo Vallecano	2025	31	79	80	71	62	62	81	67	58	55	61	67	65	67	36	78	43	61	49	55	78	65	53	64	79	67
Sergio Camello Pérez	23	177	69	R	B	CF	["CF"]	Rayo Vallecano	2027	81	38	71	73	75	74	81	73	80	77	78	77	63	66	79	77	77	67	73	76	74	81	81	65	50	74
Gerard Gumbau Garriga	29	187	77	L	B	CM	["CM","DM","SM"]	Rayo Vallecano	2025	73	74	75	73	66	66	76	66	77	67	82	80	78	76	71	79	70	80	78	74	74	78	76	72	50	74
Khalid Abdul Mumin Suleman	26	188	79	R	B	CBT	["CBT"]	Rayo Vallecano	2026	57	76	79	76	81	79	75	74	71	74	74	69	67	58	61	68	62	61	63	71	84	72	61	77	50	75
Unai López Cabrera	29	170	68	R	B	DM	["DM","CM","AM"]	Rayo Vallecano	2026	76	71	78	81	74	75	79	81	79	75	84	82	79	79	76	79	72	82	79	62	70	81	79	79	50	76
Álvaro García Rivera	32	167	61	L	B	WF	["WF","SM","AM"]	Rayo Vallecano	2026	81	57	80	76	90	90	82	90	80	85	80	76	79	77	79	73	68	61	73	61	66	80	82	67	50	75
Jorge de Frutos Sebastián	27	173	72	R	B	WF	["WF","SM"]	Rayo Vallecano	2028	77	49	75	83	85	86	76	85	81	84	78	80	77	80	76	83	74	66	80	65	75	81	76	75	50	74
Iván Balliu Campeny	32	172	63	R	B	SB	["SB"]	Rayo Vallecano	2025	74	75	74	85	85	81	77	81	79	81	77	71	77	71	61	68	68	67	68	72	79	81	76	82	50	74
Adrián Embarba Blazquez	32	173	68	R	B	WF	["WF","SM"]	Rayo Vallecano	2025	79	47	73	78	80	82	78	82	80	80	78	80	77	81	77	84	75	81	79	66	75	79	78	79	50	79
Luis Alfonso Espino García	32	172	71	L	B	SB	["SB"]	Rayo Vallecano	2026	75	75	81	90	88	90	83	83	78	84	74	77	79	82	69	83	64	67	74	71	86	76	73	87	50	76
Óscar Valentín Martín Luengo	30	177	72	R	B	DM	["DM","CM"]	Rayo Vallecano	2027	72	76	76	84	70	69	81	69	71	68	81	78	69	67	61	76	67	61	62	68	74	75	72	84	50	76
Florian Grégoire Claude Lejeune	33	189	89	R	B	CBT	["CBT"]	Rayo Vallecano	2027	62	81	84	71	66	66	83	62	74	63	81	79	72	68	62	79	68	80	63	81	80	77	67	76	50	82
Jonathan Montiel Caballero	26	174	80	L	B	AM	["AM","CM","SM"]	Rayo Vallecano	2025	73	58	75	73	71	79	75	82	80	76	80	82	77	80	80	85	76	81	79	61	67	79	75	71	50	73
Marco de las Sías López	18	180	74	R	B	CBT	["CBT","SB"]	Rayo Vallecano	2027	60	59	68	71	66	70	63	64	65	63	62	62	58	47	61	68	56	61	62	66	66	65	57	68	50	59
Pelayo Fernández Balboa	21	193	78	R	B	CBT	["CBT","DM"]	Rayo Vallecano	2028	61	66	74	74	66	66	67	62	65	63	70	67	66	60	61	68	57	61	62	63	67	65	61	71	50	64
Etienne Eto'o Pineda	22	189	76	R	B	CF	["CF","AM","SS"]	Rayo Vallecano	2025	66	31	66	71	68	66	65	62	65	65	61	62	61	64	68	68	60	74	71	66	66	65	65	64	50	65
Diego Méndez Molero	21	182	75	R	B	CBT	["CBT","CM","SB","DM"]	Rayo Vallecano	2025	61	63	69	71	71	66	66	63	65	66	67	65	61	54	61	68	60	61	62	68	71	68	61	66	50	62
Rui Tiago Dantas da Silva	30	191	91	R	B	GK	["GK"]	Real Betis	2026	31	85	82	72	62	62	87	69	59	55	63	68	67	69	41	80	43	63	49	56	79	66	54	71	83	69
Héctor Bellerín Moruno	29	178	74	R	B	SB	["SB"]	Real Betis	2028	77	74	74	78	84	81	81	80	81	82	80	72	75	70	64	68	65	63	68	68	74	81	81	78	50	76
Diego Javier Llorente Ríos	31	186	76	R	B	CBT	["CBT"]	Real Betis	2028	60	82	81	72	69	70	82	68	75	70	79	72	72	62	62	68	63	62	62	80	84	77	66	79	50	81
João Lucas de Souza Cardoso	23	186	78	R	B	DM	["DM","CM"]	Real Betis	2029	78	78	72	76	77	78	81	79	81	78	82	80	73	71	70	78	74	73	72	63	73	82	78	73	50	75
Marc Bartra Aregall	33	184	73	R	B	CBT	["CBT"]	Real Betis	2025	70	82	80	75	73	73	85	72	78	73	83	79	75	70	66	77	70	63	71	83	86	81	75	78	50	81
Natan Bernardo de Souza	23	188	85	L	B	CBT	["CBT"]	Real Betis	2025	53	82	80	76	66	67	81	65	65	62	71	67	60	55	61	68	61	61	62	76	79	70	59	77	50	73
Juan Miguel Jiménez López	31	172	69	R	B	WF	["WF","SM","CF","AM","SS"]	Real Betis	2026	82	36	73	78	79	83	82	82	83	81	81	80	74	79	83	80	79	68	70	81	83	83	82	72	50	74
Vitor Hugo Roque Ferreira	19	172	78	R	B	CF	["CF","WF","SM"]	Real Betis	2025	80	31	81	73	85	90	76	88	83	85	64	72	66	75	84	83	79	76	78	70	85	81	76	65	50	71
Luis Ezequiel Ávila	30	172	81	R	B	CF	["CF","SM","WF"]	Real Betis	2027	82	48	88	81	82	78	82	76	82	82	77	81	69	76	83	87	81	67	64	85	93	81	82	85	50	82
Abdessamad Ezzalzouli عبد الصمد الزلزولي	22	177	73	R	B	WF	["WF","SM"]	Real Betis	2029	75	37	74	71	85	87	76	85	82	84	74	75	74	76	78	77	72	61	70	61	66	81	76	63	50	69
Cédric Bakambu	33	182	73	R	B	CF	["CF"]	Real Betis	2026	82	40	74	71	80	79	78	79	78	78	76	77	72	77	80	79	77	67	71	80	85	78	78	64	50	72
Ricardo Iván Rodríguez Araya	32	182	83	L	B	CBT	["CBT","SM","SB","WB"]	Real Betis	2026	77	80	76	80	74	74	83	71	82	77	84	84	83	84	68	85	78	85	83	72	78	83	80	81	50	79
Adrián San Miguel del Castillo	37	190	80	R	B	GK	["GK"]	Real Betis	2026	31	75	78	71	62	62	75	67	58	55	61	65	63	65	37	72	43	61	49	55	72	65	49	71	76	63
William Silva de Carvalho	32	187	79	R	B	DM	["DM","AM","CM"]	Real Betis	2026	79	77	91	84	66	66	83	62	84	71	86	82	79	75	73	79	72	62	85	76	76	84	80	82	50	81
Romain Paul Jean-Michel Perraud	27	173	68	L	B	SB	["SB"]	Real Betis	2029	79	73	76	78	71	77	78	77	79	75	79	82	77	82	72	86	77	76	74	70	76	78	78	82	50	81
Sergi Altimira Clavell	23	188	75	R	B	CM	["CM","DM"]	Real Betis	2027	76	72	71	73	68	66	78	66	77	71	80	75	69	62	72	70	68	61	62	61	66	78	77	72	50	75
Pablo Fornals Malla	28	178	67	R	B	WF	["WF","SM","AM"]	Real Betis	2029	80	72	74	84	67	73	80	76	81	72	81	80	81	80	73	79	78	76	75	62	70	83	80	81	50	80
Iker Losada Aragunde	23	175	70	R	B	WF	["WF","SM","AM"]	Real Betis	2026	76	42	76	71	79	79	77	71	78	78	78	76	78	76	79	76	75	79	75	66	72	78	77	63	50	71
Giovani Lo Celso	28	177	68	L	B	AM	["AM","CM"]	Real Betis	2028	82	69	78	75	73	74	84	79	87	79	85	84	84	82	79	83	80	83	85	71	75	87	84	80	50	84
Marc Roca Junqué	28	184	81	L	B	DM	["DM","CM"]	Real Betis	2029	72	76	79	78	69	66	80	68	79	74	83	79	78	73	71	76	70	63	71	61	66	81	79	78	50	75
Francisco Román Alarcón Suárez	32	176	79	R	B	AM	["AM","SM","CM"]	Real Betis	2027	83	63	76	75	70	73	83	77	87	78	87	81	83	79	80	76	79	81	87	66	68	88	83	71	50	79
Youssouf Sabaly	31	173	67	R	B	SB	["SB"]	Real Betis	2026	78	76	79	81	82	79	80	78	79	79	79	75	76	76	62	73	67	62	66	66	77	79	78	78	50	71
Aitor Ruibal García	28	176	75	R	B	SB	["SB","SM","WB"]	Real Betis	2028	77	72	73	71	87	85	78	81	81	83	78	80	77	81	78	83	75	64	62	76	83	81	78	74	50	76
Francisco Barbosa Vieites	25	196	88	R	B	GK	["GK"]	Real Betis	2026	31	75	78	71	62	62	74	65	58	55	61	67	64	67	30	77	43	61	49	55	73	65	47	65	74	66
Nobel Mendy	20	187	80	L	B	SB	["SB","CBT"]	Real Betis	2027	63	61	71	71	77	68	66	64	65	69	66	64	62	60	61	68	59	61	62	65	70	65	66	68	50	66
Félix Martí Garreta	20	184	77	L	B	CBT	["CBT","SB"]	Real Betis	2026	65	70	77	71	69	69	74	64	71	69	73	68	65	60	61	68	62	61	62	72	77	72	73	70	50	68
Daniel Pérez Guerrero	19	173	65	R	B	CM	["CM","AM"]	Real Betis	2025	63	56	75	71	66	73	63	78	74	66	75	70	70	63	65	68	66	61	63	61	66	75	63	68	50	68
Assane Diao Diaoune	19	185	72	R	B	WF	["WF","SM"]	Real Betis	2027	74	37	74	71	91	91	74	88	77	83	70	69	67	69	78	70	72	64	64	61	67	78	74	67	50	69
Manuel González Pallarés	17	186	72	R	B	GK	["GK"]	Real Betis	2027	31	68	70	71	62	62	66	59	58	55	61	63	61	63	32	66	43	61	49	55	65	65	40	54	68	58
Lucas Alcázar Moreno	22	182	68	L	B	SB	["SB","SM","WB"]	Real Betis	2025	62	59	67	71	80	77	65	67	67	71	75	70	70	65	61	68	61	61	67	66	70	68	65	65	50	62
Mateo Flores Lozano	20	175	64	L	B	CM	["CM","AM"]	Real Betis	2027	64	56	73	71	72	74	63	71	69	69	71	69	65	63	64	69	63	63	62	61	66	70	63	65	50	66
Thibaut Nicolas Marc Courtois	32	200	96	L	B	GK	["GK"]	Real Madrid	2026	31	90	88	73	62	62	93	78	61	56	64	68	68	68	39	79	43	64	49	58	82	68	58	83	90	76
Daniel Carvajal Ramos	32	173	73	R	B	SB	["SB"]	Real Madrid	2026	83	81	82	87	84	85	88	83	85	82	87	79	84	80	67	73	69	63	80	81	87	88	88	87	50	84
Éder Gabriel Militão	26	186	78	R	B	CBT	["CBT"]	Real Madrid	2028	73	89	82	88	90	84	88	79	78	82	83	74	79	71	63	68	64	63	66	89	92	79	78	88	50	84
David Olatukunbo Alaba	32	180	78	L	B	CBT	["CBT","SB"]	Real Madrid	2026	83	86	81	79	82	81	90	80	84	81	90	87	85	85	71	85	79	88	79	82	88	86	90	81	50	81
Jude Victor William Bellingham	21	186	75	R	B	AM	["AM","CM"]	Real Madrid	2029	93	78	81	95	83	84	93	84	92	87	92	89	84	79	92	87	86	77	77	82	86	92	93	92	50	92
Eduardo Celmi Camavinga	22	182	68	L	B	CM	["CM","DM","SB"]	Real Madrid	2029	81	78	83	87	83	84	85	84	88	85	88	82	84	79	73	77	76	69	76	73	85	88	85	85	50	83
Vinicius José Paixão de Oliveira Junior	24	176	73	R	B	WF	["WF","SM","CF"]	Real Madrid	2027	90	39	78	88	96	96	90	95	94	95	88	85	85	84	92	84	85	73	82	64	78	93	90	79	50	83
Federico Santiago Valverde Dipetta	26	182	78	R	B	CM	["CM","SM"]	Real Madrid	2029	90	80	85	93	92	86	91	83	89	89	90	90	87	87	84	92	85	77	78	73	85	90	91	89	50	88
Kylian Mbappé Lottin	25	182	75	R	B	CF	["CF","WF","SM"]	Real Madrid	2029	95	38	82	90	97	97	95	96	94	96	90	90	82	86	95	91	88	78	83	81	90	94	95	82	50	85
Luka Modrić	39	172	66	R	B	CM	["CM","AM","DM"]	Real Madrid	2025	84	72	79	81	74	79	88	86	90	80	92	87	90	85	79	82	85	83	87	67	72	92	88	76	50	81
Rodrygo Silva de Goes	23	174	64	R	B	WF	["WF","SM","CF"]	Real Madrid	2028	87	37	76	85	90	91	87	90	90	90	84	81	81	81	88	79	80	79	83	75	80	89	87	75	50	80
Andriy Lunin Лунін Андрій Олексійович	25	191	83	R	B	GK	["GK"]	Real Madrid	2030	31	83	81	71	62	62	84	68	58	55	61	68	65	69	31	80	43	61	49	55	78	65	54	74	82	72
Aurélien Djani Tchouameni	24	188	82	R	B	DM	["DM","CM","CBT"]	Real Madrid	2028	82	82	85	86	76	78	87	77	84	79	88	84	81	77	73	81	73	65	79	81	86	85	85	85	50	83
Arda Güler	19	175	70	L	B	AM	["AM","SM","WF"]	Real Madrid	2029	77	58	76	76	74	79	78	82	84	79	83	81	82	81	77	79	79	80	86	61	66	84	78	67	50	73
Endrick Felipe Moreira de Sousa	18	173	66	L	B	CF	["CF","WF","SM"]	Real Madrid	2027	80	36	79	73	90	92	81	90	81	85	74	77	63	68	81	82	78	76	69	76	87	80	81	66	50	71
